zone0 to zone0 µїАП°ж·О
zone0 to zone1 ГС 10єР, µµєё 9єР, єсїл 900їш
zone0 to zone84 ГС 1ЅГ°Ј 2єР, µµєё 9єР, єсїл 1,300їш
zone0 to zone85 ГС 42єР, µµєё 19єР, єсїл 1,250їш
zone0 to zone86 ГС 38єР, µµєё 11єР, єсїл 1,350їш
zone0 to zone87 ГС 50єР, µµєё 15єР, єсїл 1,200їш
zone0 to zone88 ГС 1ЅГ°Ј 3єР, µµєё 11єР, єсїл 1,300їш
zone0 to zone89 ГС 49єР, µµєё 9єР, єсїл 1,350їш
zone0 to zone90 ГС 42єР, µµєё 13єР, єсїл 1,350їш
zone0 to zone91 ГС 39єР, µµєё 12єР, єсїл 1,350їш
zone0 to zone92 ГС 40єР, µµєё 12єР, єсїл 1,350їш
zone0 to zone93 ГС 43єР, µµєё 12єР, єсїл 1,350їш
zone0 to zone94 ГС 1ЅГ°Ј 6єР, µµєё 9єР, єсїл 1,300їш
zone0 to zone95 ГС 1ЅГ°Ј 10єР, µµєё 15єР, єсїл 1,300їш
zone0 to zone96 ГС 1ЅГ°Ј 11єР, µµєё 7єР, єсїл 1,300їш
zone0 to zone97 ГС 1ЅГ°Ј 7єР, µµєё 7єР, єсїл 1,300їш
zone0 to zone98 ГС 1ЅГ°Ј 3єР, µµєё 10єР, єсїл 1,300їш
zone0 to zone99 ГС 1ЅГ°Ј 3єР, µµєё 8єР, єсїл 1,300їш
zone0 to zone100 ГС 1ЅГ°Ј 3єР, µµєё 7єР, єсїл 1,300їш
zone0 to zone101 ГС 49єР, µµєё 13єР, єсїл 1,350їш
zone0 to zone102 ГС 52єР, µµєё 15єР, єсїл 1,350їш
zone0 to zone103 ГС 50єР, µµєё 16єР, єсїл 1,350їш
zone0 to zone104 ГС 1ЅГ°Ј 10єР, µµєё 9єР, єсїл 1,300їш
zone0 to zone105 ГС 1ЅГ°Ј 20єР, µµєё 7єР, єсїл 1,400їш
zone0 to zone106 ГС 1ЅГ°Ј 7єР, µµєё 12єР, єсїл 1,300їш
zone0 to zone107 ГС 52єР, µµєё 14єР, єсїл 1,350їш
zone0 to zone108 ГС 58єР, µµєё 14єР, єсїл 1,350їш
zone0 to zone109 ГС 55єР, µµєё 10єР, єсїл 1,450їш
zone0 to zone110 ГС 40єР, µµєё 7єР, єсїл 1,200їш
zone0 to zone111 ГС 49єР, µµєё 8єР, єсїл 1,300їш
zone0 to zone112 ГС 45єР, µµєё 11єР, єсїл 1,200їш
zone0 to zone113 ГС 29єР, µµєё 18єР, єсїл 900їш
zone0 to zone114 ГС 38єР, µµєё 10єР, єсїл 1,200їш
zone0 to zone115 ГС 41єР, µµєё 18єР, єсїл 1,200їш
zone0 to zone116 ГС 34єР, µµєё 7єР, єсїл 1,200їш
zone0 to zone117 ГС 27єР, µµєё 6єР, єсїл 1,200їш
zone0 to zone118 ГС 32єР, µµєё 11єР, єсїл 1,200їш
zone0 to zone119 ГС 41єР, µµєё 11єР, єсїл 1,200їш
zone0 to zone120 ГС 43єР, µµєё 11єР, єсїл 1,200їш
zone0 to zone121 ГС 43єР, µµєё 7єР, єсїл 1,200їш
zone0 to zone122 ГС 35єР, µµєё 10єР, єсїл 1,200їш
zone0 to zone123 ГС 41єР, µµєё 8єР, єсїл 1,200їш
zone0 to zone124 ГС 40єР, µµєё 7єР, єсїл 1,200їш
zone0 to zone125 ГС 47єР, µµєё 11єР, єсїл 1,350їш
zone0 to zone126 ГС 42єР, µµєё 7єР, єсїл 1,200їш
zone0 to zone127 ГС 50єР, µµєё 13єР, єсїл 1,350їш
zone0 to zone128 ГС 48єР, µµєё 10єР, єсїл 1,350їш
zone0 to zone129 ГС 47єР, µµєё 14єР, єсїл 1,350їш
zone0 to zone130 ГС 48єР, µµєё 7єР, єсїл 1,300їш
zone0 to zone131 ГС 49єР, µµєё 9єР, єсїл 1,200їш
zone0 to zone132 ГС 48єР, µµєё 14єР, єсїл 1,200їш
zone0 to zone133 ГС 1ЅГ°Ј 23єР, µµєё 27єР, єсїл 1,300їш
zone0 to zone134 ГС 55єР, µµєё 8єР, єсїл 1,300їш
zone0 to zone135 ГС 54єР, µµєё 9єР, єсїл 1,300їш
zone0 to zone136 ГС 45єР, µµєё 18єР, єсїл 1,350їш
zone0 to zone137 ГС 46єР, µµєё 10єР, єсїл 1,200їш
zone0 to zone138 ГС 47єР, µµєё 15єР, єсїл 1,350їш
zone0 to zone139 ГС 59єР, µµєё 11єР, єсїл 1,300їш
zone0 to zone140 ГС 46єР, µµєё 15єР, єсїл 1,350їш
zone0 to zone141 ГС 1ЅГ°Ј 4єР, µµєё 6єР, єсїл 1,300їш
zone0 to zone142 ГС 56єР, µµєё 13єР, єсїл 1,200їш
zone0 to zone143 ГС 1ЅГ°Ј 4єР, µµєё 7єР, єсїл 1,300їш
zone0 to zone144 ГС 1ЅГ°Ј, µµєё 11єР, єсїл 1,300їш
zone0 to zone145 ГС 55єР, µµєё 21єР, єсїл 1,450їш
zone0 to zone146 ГС 1ЅГ°Ј 8єР, µµєё 6єР, єсїл 1,300їш
zone0 to zone147 ГС 1ЅГ°Ј 9єР, µµєё 6єР, єсїл 1,300їш
zone0 to zone148 ГС 1ЅГ°Ј 2єР, µµєё 17єР, єсїл 1,450їш
zone0 to zone149 ГС 1ЅГ°Ј 8єР, µµєё 23єР, єсїл 1,450їш
zone0 to zone150 ГС 1ЅГ°Ј 3єР, µµєё 20єР, єсїл 1,450їш
zone0 to zone151 ГС 56єР, µµєё 14єР, єсїл 1,450їш
zone0 to zone152 ГС 54єР, µµєё 20єР, єсїл 1,450їш
zone0 to zone153 ГС 58єР, µµєё 15єР, єсїл 1,300їш
zone0 to zone154 ГС 1ЅГ°Ј 4єР, µµєё 13єР, єсїл 1,300їш
zone0 to zone155 ГС 1ЅГ°Ј 1єР, µµєё 14єР, єсїл 1,550їш
zone0 to zone156 ГС 58єР, µµєё 13єР, єсїл 1,450їш
zone0 to zone157 ГС 48єР, µµєё 12єР, єсїл 1,350їш
zone0 to zone158 ГС 57єР, µµєё 9єР, єсїл 1,450їш
zone0 to zone159 ГС 49єР, µµєё 10єР, єсїл 1,350їш
zone0 to zone160 ГС 1ЅГ°Ј, µµєё 12єР, єсїл 1,350їш
zone0 to zone161 ГС 53єР, µµєё 11єР, єсїл 1,450їш
zone0 to zone162 ГС 1ЅГ°Ј 5єР, µµєё 9єР, єсїл 1,300їш
zone0 to zone163 ГС 1ЅГ°Ј, µµєё 12єР, єсїл 1,300їш
zone0 to zone164 ГС 1ЅГ°Ј 2єР, µµєё 15єР, єсїл 1,450їш
zone0 to zone165 ГС 1ЅГ°Ј 8єР, µµєё 9єР, єсїл 1,450їш
zone0 to zone166 ГС 1ЅГ°Ј 17єР, µµєё 11єР, єсїл 1,450їш
zone0 to zone167 ГС 59єР, µµєё 18єР, єсїл 1,450їш
zone0 to zone168 ГС 1ЅГ°Ј 3єР, µµєё 10єР, єсїл 1,550їш
zone0 to zone169 ГС 1ЅГ°Ј 16єР, µµєё 21єР, єсїл 1,450їш
zone0 to zone170 ГС 1ЅГ°Ј 12єР, µµєё 12єР, єсїл 1,550їш
zone0 to zone171 ГС 58єР, µµєё 19єР, єсїл 1,450їш
zone0 to zone172 ГС 59єР, µµєё 18єР, єсїл 1,450їш
zone0 to zone173 ГС 59єР, µµєё 15єР, єсїл 1,550їш
zone0 to zone174 ГС 1ЅГ°Ј 10єР, µµєё 14єР, єсїл 1,450їш
zone0 to zone175 ГС 57єР, µµєё 18єР, єсїл 1,450їш
zone0 to zone176 ГС 42єР, µµєё 6єР, єсїл 1,200їш
zone0 to zone177 ГС 44єР, µµєё 11єР, єсїл 1,200їш
zone0 to zone178 ГС 36єР, µµєё 7єР, єсїл 1,200їш
zone0 to zone179 ГС 56єР, µµєё 10єР, єсїл 1,300їш
zone0 to zone180 ГС 46єР, µµєё 9єР, єсїл 1,300їш
zone0 to zone181 ГС 49єР, µµєё 14єР, єсїл 1,200їш
zone0 to zone182 ГС 58єР, µµєё 20єР, єсїл 1,300їш
zone0 to zone183 ГС 52єР, µµєё 22єР, єсїл 1,200їш
zone0 to zone184 ГС 44єР, µµєё 5єР, єсїл 1,200їш
zone0 to zone185 ГС 50єР, µµєё 7єР, єсїл 1,300їш
zone0 to zone186 ГС 51єР, µµєё 10єР, єсїл 1,200їш
zone0 to zone187 ГС 58єР, µµєё 10єР, єсїл 1,300їш
zone0 to zone188 ГС 47єР, µµєё 14єР, єсїл 1,350їш
zone0 to zone189 ГС 48єР, µµєё 16єР, єсїл 1,350їш
zone0 to zone190 ГС 50єР, µµєё 13єР, єсїл 1,300їш
zone0 to zone191 ГС 51єР, µµєё 8єР, єсїл 1,300їш
zone0 to zone192 ГС 24єР, µµєё 10єР, єсїл 1,200їш
zone0 to zone193 ГС 35єР, µµєё 7єР, єсїл 1,200їш
zone0 to zone194 ГС 26єР, µµєё 9єР, єсїл 1,200їш
zone0 to zone195 ГС 30єР, µµєё 17єР, єсїл 1,200їш
zone0 to zone196 ГС 36єР, µµєё 13єР, єсїл 1,200їш
zone0 to zone197 ГС 27єР, µµєё 6єР, єсїл 1,200їш
zone0 to zone198 ГС 37єР, µµєё 13єР, єсїл 1,200їш
zone0 to zone199 ГС 26єР, µµєё 7єР, єсїл 1,200їш
zone0 to zone200 ГС 37єР, µµєё 9єР, єсїл 1,200їш
zone0 to zone201 ГС 46єР, µµєё 11єР, єсїл 1,200їш
zone0 to zone202 ГС 38єР, µµєё 13єР, єсїл 1,200їш
zone0 to zone203 ГС 38єР, µµєё 11єР, єсїл 1,200їш
zone0 to zone204 ГС 42єР, µµєё 10єР, єсїл 1,200їш
zone0 to zone205 ГС 56єР, µµєё 10єР, єсїл 1,300їш
zone0 to zone206 ГС 44єР, µµєё 9єР, єсїл 1,200їш
zone0 to zone207 ГС 41єР, µµєё 8єР, єсїл 1,200їш
zone0 to zone208 ГС 30єР, µµєё 11єР, єсїл 1,200їш
zone0 to zone209 ГС 26єР, µµєё 8єР, єсїл 1,200їш
zone0 to zone210 ГС 34єР, µµєё 6єР, єсїл 1,200їш
zone0 to zone211 ГС 35єР, µµєё 14єР, єсїл 1,250їш
zone0 to zone212 ГС 39єР, µµєё 15єР, єсїл 1,200їш
zone0 to zone213 ГС 32єР, µµєё 11єР, єсїл 1,250їш
zone0 to zone214 ГС 34єР, µµєё 17єР, єсїл 1,250їш
zone0 to zone215 ГС 53єР, µµєё 7єР, єсїл 1,300їш
zone0 to zone216 ГС 34єР, µµєё 16єР, єсїл 1,200їш
zone0 to zone217 ГС 53єР, µµєё 5єР, єсїл 1,300їш
zone0 to zone218 ГС 39єР, µµєё 10єР, єсїл 1,200їш
zone0 to zone219 ГС 35єР, µµєё 12єР, єсїл 1,200їш
zone0 to zone220 ГС 33єР, µµєё 10єР, єсїл 1,200їш
zone0 to zone221 ГС 44єР, µµєё 11єР, єсїл 1,300їш
zone0 to zone222 ГС 1ЅГ°Ј, µµєё 10єР, єсїл 1,400їш
zone0 to zone223 ГС 48єР, µµєё 14єР, єсїл 1,350їш
zone0 to zone224 ГС 44єР, µµєё 13єР, єсїл 1,350їш
zone0 to zone225 ГС 1ЅГ°Ј 1єР, µµєё 9єР, єсїл 1,300їш
zone0 to zone226 ГС 53єР, µµєё 16єР, єсїл 1,350їш
zone0 to zone227 ГС 1ЅГ°Ј 5єР, µµєё 14єР, єсїл 1,450їш
zone0 to zone228 ГС 1ЅГ°Ј 2єР, µµєё 16єР, єсїл 1,450їш
zone0 to zone229 ГС 1ЅГ°Ј, µµєё 8єР, єсїл 1,400їш
zone0 to zone230 ГС 1ЅГ°Ј 18єР, µµєё 9єР, єсїл 1,400їш
zone0 to zone231 ГС 48єР, µµєё 15єР, єсїл 1,350їш
zone0 to zone232 ГС 1ЅГ°Ј 20єР, µµєё 9єР, єсїл 1,400їш
zone0 to zone233 ГС 59єР, µµєё 19єР, єсїл 1,450їш
zone0 to zone234 ГС 1ЅГ°Ј, µµєё 13єР, єсїл 1,450їш
zone0 to zone235 ГС 1ЅГ°Ј 1єР, µµєё 17єР, єсїл 1,450їш
zone0 to zone236 ГС 55єР, µµєё 11єР, єсїл 1,450їш
zone0 to zone237 ГС 52єР, µµєё 22єР, єсїл 1,350їш
zone0 to zone238 ГС 52єР, µµєё 14єР, єсїл 1,450їш
zone0 to zone239 ГС 53єР, µµєё 13єР, єсїл 1,450їш
zone0 to zone240 ГС 49єР, µµєё 7єР, єсїл 1,650їш
zone0 to zone241 ГС 54єР, µµєё 16єР, єсїл 1,300їш
zone0 to zone242 ГС 1ЅГ°Ј 2єР, µµєё 13єР, єсїл 1,400їш
zone0 to zone243 ГС 58єР, µµєё 6єР, єсїл 1,650їш
zone0 to zone244 ГС 54єР, µµєё 6єР, єсїл 1,650їш
zone0 to zone245 ГС 59єР, µµєё 6єР, єсїл 1,400їш
zone0 to zone246 ГС 1ЅГ°Ј 1єР, µµєё 16єР, єсїл 1,400їш
zone0 to zone247 ГС 1ЅГ°Ј 2єР, µµєё 5єР, єсїл 1,650їш
zone0 to zone248 ГС 1ЅГ°Ј 7єР, µµєё 12єР, єсїл 1,400їш
zone0 to zone249 ГС 52єР, µµєё 10єР, єсїл 1,400їш
zone0 to zone250 ГС 47єР, µµєё 12єР, єсїл 1,450їш
zone0 to zone251 ГС 53єР, µµєё 17єР, єсїл 1,450їш
zone0 to zone252 ГС 1ЅГ°Ј, µµєё 15єР, єсїл 1,550їш
zone0 to zone253 ГС 1ЅГ°Ј 9єР, µµєё 19єР, єсїл 1,550їш
zone0 to zone254 ГС 1ЅГ°Ј 20єР, µµєё 9єР, єсїл 1,750їш
zone0 to zone255 ГС 1ЅГ°Ј 6єР, µµєё 14єР, єсїл 1,550їш
zone0 to zone256 ГС 50єР, µµєё 13єР, єсїл 1,450їш
zone0 to zone257 ГС 59єР, µµєё 20єР, єсїл 1,450їш
zone0 to zone258 ГС 59єР, µµєё 14єР, єсїл 1,400їш
zone0 to zone259 ГС 1ЅГ°Ј 2єР, µµєё 8єР, єсїл 1,650їш
zone0 to zone260 ГС 56єР, µµєё 11єР, єсїл 1,300їш
zone0 to zone261 ГС 53єР, µµєё 19єР, єсїл 1,350їш
zone0 to zone262 ГС 52єР, µµєё 20єР, єсїл 1,350їш
zone0 to zone263 ГС 54єР, µµєё 13єР, єсїл 1,450їш
zone0 to zone264 ГС 54єР, µµєё 13єР, єсїл 1,450їш
zone0 to zone265 ГС 53єР, µµєё 21єР, єсїл 1,350їш
zone0 to zone266 ГС 58єР, µµєё 18єР, єсїл 1,450їш
zone0 to zone267 ГС 59єР, µµєё 8єР, єсїл 1,400їш
zone0 to zone268 ГС 1ЅГ°Ј 2єР, µµєё 6єР, єсїл 1,400їш
zone0 to zone269 ГС 53єР, µµєё 14єР, єсїл 1,450їш
zone0 to zone270 ГС 1ЅГ°Ј 8єР, µµєё 8єР, єсїл 1,400їш
zone0 to zone271 ГС 1ЅГ°Ј 9єР, µµєё 10єР, єсїл 1,400їш
zone0 to zone272 ГС 53єР, µµєё 17єР, єсїл 1,450їш
zone0 to zone273 ГС 1ЅГ°Ј 11єР, µµєё 10єР, єсїл 1,400їш
zone0 to zone274 ГС 58єР, µµєё 19єР, єсїл 1,450їш
zone0 to zone275 ГС 54єР, µµєё 14єР, єсїл 1,450їш
zone0 to zone276 ГС 1ЅГ°Ј 11єР, µµєё 10єР, єсїл 1,400їш
zone0 to zone277 ГС 1ЅГ°Ј 1єР, µµєё 12єР, єсїл 1,450їш
zone0 to zone278 ГС 1ЅГ°Ј 17єР, µµєё 14єР, єсїл 1,400їш
zone0 to zone279 ГС 1ЅГ°Ј 23єР, µµєё 10єР, єсїл 1,400їш
zone0 to zone280 ГС 1ЅГ°Ј, µµєё 9єР, єсїл 1,550їш
zone0 to zone281 ГС 1ЅГ°Ј 27єР, µµєё 10єР, єсїл 1,500їш
zone0 to zone282 ГС 1ЅГ°Ј 11єР, µµєё 8єР, єсїл 1,550їш
zone0 to zone283 ГС 1ЅГ°Ј 6єР, µµєё 14єР, єсїл 1,550їш
zone0 to zone284 ГС 1ЅГ°Ј 4єР, µµєё 11єР, єсїл 1,550їш
zone0 to zone285 ГС 39єР, µµєё 16єР, єсїл 1,350їш
zone0 to zone286 ГС 37єР, µµєё 12єР, єсїл 1,350їш
zone0 to zone287 ГС 42єР, µµєё 14єР, єсїл 1,350їш
zone0 to zone288 ГС 37єР, µµєё 10єР, єсїл 1,350їш
zone0 to zone289 ГС 48єР, µµєё 12єР, єсїл 1,300їш
zone0 to zone290 ГС 43єР, µµєё 20єР, єсїл 1,350їш
zone0 to zone291 ГС 46єР, µµєё 15єР, єсїл 1,350їш
zone0 to zone292 ГС 53єР, µµєё 12єР, єсїл 1,300їш
zone0 to zone293 ГС 1ЅГ°Ј 1єР, µµєё 11єР, єсїл 1,300їш
zone0 to zone294 ГС 58єР, µµєё 10єР, єсїл 1,300їш
zone0 to zone295 ГС 51єР, µµєё 6єР, єсїл 1,300їш
zone0 to zone296 ГС 55єР, µµєё 9єР, єсїл 1,300їш
zone0 to zone297 ГС 56єР, µµєё 13єР, єсїл 1,300їш
zone0 to zone298 ГС 37єР, µµєё 10єР, єсїл 1,350їш
zone0 to zone299 ГС 47єР, µµєё 17єР, єсїл 1,350їш
zone0 to zone300 ГС 58єР, µµєё 11єР, єсїл 1,450їш
zone0 to zone301 ГС 49єР, µµєё 17єР, єсїл 1,350їш
zone0 to zone302 ГС 1ЅГ°Ј 5єР, µµєё 8єР, єсїл 1,400їш
zone0 to zone303 ГС 46єР, µµєё 7єР, єсїл 1,300їш
zone0 to zone304 ГС 41єР, µµєё 18єР, єсїл 1,350їш
zone0 to zone305 ГС 30єР, µµєё 10єР, єсїл 1,250їш
zone0 to zone306 ГС 50єР, µµєё 11єР, єсїл 1,200їш
zone0 to zone307 ГС 53єР, µµєё 12єР, єсїл 1,300їш
zone0 to zone308 ГС 50єР, µµєё 6єР, єсїл 1,300їш
zone0 to zone309 ГС 53єР, µµєё 11єР, єсїл 1,300їш
zone0 to zone310 ГС 46єР, µµєё 5єР, єсїл 1,300їш
zone0 to zone311 ГС 1ЅГ°Ј 7єР, µµєё 9єР, єсїл 1,300їш
zone0 to zone312 ГС 1ЅГ°Ј 3єР, µµєё 8єР, єсїл 1,400їш
zone0 to zone313 ГС 1ЅГ°Ј 4єР, µµєё 10єР, єсїл 1,400їш
zone0 to zone314 ГС 1ЅГ°Ј 2єР, µµєё 6єР, єсїл 1,400їш
zone0 to zone315 ГС 49єР, µµєё 14єР, єсїл 1,350їш
zone0 to zone316 ГС 52єР, µµєё 15єР, єсїл 1,450їш
zone0 to zone317 ГС 54єР, µµєё 8єР, єсїл 1,300їш
zone0 to zone318 ГС 1ЅГ°Ј 4єР, µµєё 12єР, єсїл 1,300їш
zone0 to zone319 ГС 1ЅГ°Ј 4єР, µµєё 11єР, єсїл 1,300їш
zone0 to zone320 ГС 57єР, µµєё 16єР, єсїл 1,450їш
zone0 to zone321 ГС 1ЅГ°Ј 4єР, µµєё 19єР, єсїл 1,350їш
zone0 to zone322 ГС 58єР, µµєё 14єР, єсїл 1,350їш
zone0 to zone323 ГС 47єР, µµєё 17єР, єсїл 1,350їш
zone0 to zone324 ГС 58єР, µµєё 13єР, єсїл 1,300їш
zone0 to zone325 ГС 58єР, µµєё 16єР, єсїл 1,450їш
zone0 to zone326 ГС 1ЅГ°Ј 3єР, µµєё 9єР, єсїл 1,300їш
zone0 to zone327 ГС 1ЅГ°Ј 1єР, µµєё 8єР, єсїл 1,300їш
zone0 to zone328 ГС 56єР, µµєё 17єР, єсїл 1,450їш
zone0 to zone329 ГС 55єР, µµєё 16єР, єсїл 1,450їш
zone0 to zone330 ГС 55єР, µµєё 19єР, єсїл 1,450їш
zone0 to zone331 ГС 59єР, µµєё 7єР, єсїл 1,300їш
zone0 to zone332 ГС 1ЅГ°Ј 7єР, µµєё 5єР, єсїл 1,400їш
zone0 to zone333 ГС 58єР, µµєё 13єР, єсїл 1,450їш
zone0 to zone334 ГС 1ЅГ°Ј 10єР, µµєё 11єР, єсїл 1,400їш
zone0 to zone335 ГС 1ЅГ°Ј 10єР, µµєё 2єР, єсїл 1,400їш
zone0 to zone336 ГС 1ЅГ°Ј 22єР, µµєё 9єР, єсїл 1,400їш
zone0 to zone337 ГС 1ЅГ°Ј 16єР, µµєё 10єР, єсїл 1,400їш
zone0 to zone338 ГС 1ЅГ°Ј 12єР, µµєё 8єР, єсїл 1,400їш
zone0 to zone339 ГС 51єР, µµєё 23єР, єсїл 1,350їш
zone0 to zone340 ГС 57єР, µµєё 10єР, єсїл 1,300їш
zone0 to zone341 ГС 47єР, µµєё 19єР, єсїл 1,350їш
zone0 to zone342 ГС 55єР, µµєё 14єР, єсїл 1,300їш
zone0 to zone343 ГС 47єР, µµєё 11єР, єсїл 1,300їш
zone0 to zone344 ГС 44єР, µµєё 15єР, єсїл 1,300їш
zone0 to zone345 ГС 51єР, µµєё 22єР, єсїл 1,350їш
zone0 to zone346 ГС 41єР, µµєё 15єР, єсїл 1,300їш
zone0 to zone347 ГС 46єР, µµєё 13єР, єсїл 1,300їш
zone0 to zone348 ГС 53єР, µµєё 13єР, єсїл 1,300їш
zone0 to zone349 ГС 44єР, µµєё 11єР, єсїл 1,300їш
zone0 to zone350 ГС 51єР, µµєё 12єР, єсїл 1,300їш
zone0 to zone351 ГС 48єР, µµєё 18єР, єсїл 1,350їш
